"","lon"
"1307",-74.0248
"1308",-73.7888
"1309",-76.1686
"1310",-71.9666
"1311",-71.375
"1312",-73.9627
"1313",-71.4978
"1314",-71.5907
"1315",-70.9096
"1316",-71.125
"1317",-69.8873
"1318",-71.0062
"1319",-73.2301
"1320",-74.0892
"1321",-74.02476
"1322",-76.168567
"1323",-70.726202
"1324",-69.887256
"1325",-73.788845
"1326",-71.226646
"1327",-73.230079
"1328",-72.147921
"1329",-73.577186
"1330",-71.1689
"1331",-66.816667
"1332",-73.962662
"1333",-74.089219
"1334",-76.1
"1335",-66.5833
"1336",-68.45
"1337",-63.1109
"1338",-63.1076
"1339",-82.4013
"1340",-68.517
"1341",-70.4409
"1342",-79.9535
"1343",-73.5694
"1344",-65.495
"1345",-74.1331
"1346",-74.6135
"1347",-73.8683
"1348",-74.376
"1349",-71.2757
"1350",-64.0776
"1351",-63.2569
"1352",-62.9555
"1353",-64.4507
"1354",-64.93
"1355",-63.5532
"1356",-72.1479
"1357",-71.275658
"1358",-62.955532
"1359",-65.494973
"1360",-74.375957
"1361",-64.930015
"1362",-64.450686
"1363",-73.569351
"1364",-74.133086
"1365",-64.077634
"1366",-63.256862
"1367",-73.868283
"1368",-64.478667
"1369",-73.55
"1370",-74.6667
"1371",-74.3667
"1372",-68.836766
"1373",-74.613549
"1374",-77.3
"1375",-64.35
"1376",-92.6638
"1377",-78.8867
"1378",-81.519
"1379",-138.7452
"1380",-67.4046
"1381",-135.8972
"1382",-83.5564
"1383",-80.6864
"1384",-75.09
"1385",-75.5808
"1386",-73.9846
"1387",-75.1443
"1388",-71.2706
"1389",-71.3855
"1390",-72.0315
"1391",-71.3854
"1392",-66.195
"1393",-74.0006
"1394",-74.7127
"1395",-71.270612
"1396",-75.580792
"1397",-73.984621
"1398",-75.089951
"1399",-71.385497
"1400",-75.14428
"1401",-74.712738
"1402",-75.76
"1403",-71.059799
"1404",-75.812141
"1405",-75.79751
"1406",-73.9833
"1407",-74.2942
"1408",-75.15
"1409",-77.270278
"1410",-71.59069
"1411",-72.031462
"1412",-74.000625
"1413",-77.45
"1414",-77.1333
"1415",-75.5
"1416",-75.93
"1417",-65.7012
"1418",-80.9867
"1419",-103.277
"1420",-78.8829
"1421",-71.6609
"1422",-76.0301
"1423",-76.4597
"1424",-75.1436
"1425",-63.8026
"1426",-69.9268
"1427",-72.4246
"1428",-63.2469
"1429",-76.030103
"1430",-72.424601
"1431",-75.143646
"1432",-63.246904
"1433",-69.926801
"1434",-71.775918
"1435",-64.351047
"1436",-76.0333
"1437",-73.8833
"1438",-73.816667
"1439",-66.193734
"1440",-66.81667
"1441",-76.459739
"1442",-65.9667
"1443",-71.660938
"1444",-73.9667
"1445",-76.6667
"1446",-77.1
"1447",-76.4833
"1448",-75.65
"1449",-75.4333
"1450",-77.3667
"1451",-65.97
"1452",-75.92
"1453",-93.021
"1454",-107.7972
"1455",-99.9857
"1456",-77.9956
"1457",-106.7079
"1458",-108.4846
"1459",-73.1957
"1460",-71.31
"1461",-67.702
"1462",-74.4757
"1463",-69.9665
"1464",-73.1499
"1465",-73.8206
"1466",-71.6719
"1467",-77.7467
"1468",-67.701976
"1469",-74.475705
"1470",-69.96652
"1471",-73.820557
"1472",-71.671869
"1473",-73.9164
"1474",-71.85937
"1475",-74.33444
"1476",-79.25
"1477",-76.023102
"1478",-70.46667
"1479",-76.07147
"1480",-72.368727
"1481",-76.793677
"1482",-73.8024
"1483",-67.7
"1484",-73.9174
"1485",-73.9647
"1486",-66.8167
"1487",-67.694482
"1488",-73.9377
"1489",-73.8135
"1490",-73.7667
"1491",-73.149939
"1492",-74.4
"1493",-73.92
"1494",-73.82
"1495",-73.77
"1496",-73.97
"1497",-73.93
"1498",-78.571984
"1499",-73.8401
"1500",-76.17
"1501",-84.2013
"1502",-83.9788
"1503",-80.6653
"1504",-80.4792
"1505",-108.2378
"1506",-80.6327
"1507",-80.307
"1508",-80.555
"1509",-96.9615
"1510",-106.0018
"1511",-108.7126
"1512",-107.8411
"1513",-137.527
"1514",-80.2781
"1515",-76.1619
"1516",-81.712
"1517",-80.1345
"1518",-81.0761
"1519",-108.1803
"1520",-83.0209
