"","lat","lon"
"10673",48.141787,-71.805798
"10679",48.72944,-66.142858
"10723",45.35,-73.15
"10755",46.99522,-71.36564
"10762",45.53254,-75.88315
"10769",60.036415,-77.262887
"10773",45.994431,-73.593287
"10780",62.533333,-77.383333
"10801",45.866667,-74.766667
"10812",46.4,-75.1167
"10828",46.45,-74.9333
"10837",46.5,-75.1333
"10853",51.4833,-78.75
"10878",47.70311,-71.46125
"10879",44.41,-78.767
"10880",45.2431,-73.8028
"10883",46.2338,-73.5298
"10888",46.8063,-71.357
"10892",58.7839,-72.4522
"10908",45.4617,-73.9185
"10909",46.233843,-73.529825
"10916",46.012017,-73.349988
"10924",45.243056,-73.802778
"10931",45.461712,-73.918504
"10937",45.663665,-75.347226
"10946",45.1,-72.6167
"10948",45.6,-74.2
"10954",58.783889,-72.452222
"10956",58.7833,-72.4667
"10958",51.9667,-69.7833
"10959",54.1667,-69.9833
"10964",60.8167,-69.8667
"10969",45.7,-73.6167
"10975",49.1751,-122.6575
"10991",45.4947,-74.025
"11004",45.2429,-74.246
"11009",45.0555,-72.8375
"11042",56.84,-68.855
"11046",45.055473,-72.837506
"11053",56.8333,-68.95
"11056",49.9066,-109.4802
"11126",46.9214,-70.8896
"11155",45.3958,-73.5657
"11173",45.5435,-75.4192
"11205",46.6968,-71.591
"11241",46.921393,-70.889629
"11268",46.69684,-71.591027
"11286",45.543454,-75.41917
"11293",45.39582,-73.565743
"11326",46.806309,-71.357009
