"","lat"
"5118",45.9718
"5120",48.8532
"5152",49.124578
"5168",48.07634
"5201",45.971767
"5224",46.119269
"5227",46.121681
"5231",45.2168
"5237",45.16004
"5248",48.8
"5250",48.85
"5312",46.90447
"5318",52.73333
"5342",48.85321
"5364",46.0833
"5383",52.1332
"5384",52.1334
"5385",58.7684
"5387",25.8129
"5388",40.1826
"5390",25.0865
"5391",53.8255
"5392",42.6668
"5393",38.9717
"5454",46.1061
"5459",46.1341
"5461",46.3906
"5471",41.8459
"5485",46.0059
"5516",46.2281
"5538",46.7382
"5579",46.005908
"5594",46.39059
"5619",46.134124
"5638",46.228109
"5657",46.738227
"5673",46.812371
"5699",48.794
"5700",48.91667
"5701",49.2235
"5703",48.5246
"5706",45.6824
"5709",48.789
"5724",46
"5737",46.2333
"5789",48.78333
"5791",48.916667
"5795",48.35
"5839",46.106058
"5844",48.25
"5846",48.9167
"5848",48.9333
"5870",48.9
"5880",48.7833
"5922",48.95
"5926",48.1833
"6006",48.78062
"6010",48.4671
"6012",53.9232
"6013",50.7746
"6015",41.6005
"6016",39.9766
"6098",43.9652
"6102",45.0475
"6153",46.766
"6154",45.5436
"6155",46.8616
"6156",47.0882
"6157",47.4424
"6159",45.2291
"6160",46.8618
"6174",45.3821
"6227",47.088245
"6241",45.403229
"6242",46.765975
"6279",46.861847
"6308",47.442406
"6318",48.2
"6319",46.224592
"6320",53.8348
"6321",51.6195
"6368",45.840537
"6369",45.881422
"6372",48.832148
"6406",45.047497
"6425",46.2167
"6468",52.4652
"6473",50.5319
"6479",50.1458
"6480",50.061
"6544",45.8508
"6563",46.1944
"6572",45.8941
"6596",46.9295
"6609",45.3602
"6627",45.40875
"6639",45.85076
"6669",45.894072
"6682",46.194377
"6685",46.929532
"6687",46.110809
"6707",45.360159
"6748",45.646026
"6749",45.96667
"6750",45.951844
"6751",45.6047
"6752",45.6386
"6756",45.644
"6826",45.642778
"6922",45.6
"6929",42.681
"6930",41.893
"6931",44.2287
"6933",62.8451
"6935",35.812
"6936",47.4544
"6937",46.0722
"6983",48.3756
"6985",45.9518
"7034",46.783
"7041",45.0867
"7081",48.6896
"7082",46.8997
"7083",47.5644
"7086",47.5654
"7090",45.623
"7092",46.0835
"7093",45.9843
"7105",46.5588
"7109",45.4954
"7121",46.139722
"7125",45.495401
"7141",48.375643
"7144",47.454375
"7148",45.951803
"7163",45.08672
"7164",46.899729
"7168",46.083474
"7201",45.622968
"7215",48.689632
"7216",46.072217
"7220",46.558758
"7235",47.565378
"7252",46.782996
"7256",47.564442
"7266",45.984348
"7284",45.22
"7294",48.833333
"7296",45.217
"7303",45.0833
"7398",49.017603
"7500",46.0999
"7501",50.9146
"7502",43.5448
"7534",46.8118
"7579",45.4032
"7618",46.8192
"7621",47.3286
"7625",46.8185
"7633",49.2213
"7763",46.818528
"7782",45.600768
"7783",46.048564
"7784",48.811818
"7786",46.09
"7871",46.6
"7903",46.1
"7975",46.2
"8162",46.25
"8206",48.565
"8207",44.2998
"8208",43.2557
"8209",37.6202
"8210",39.2631
"8229",46.0428
"8240",46.8879
"8244",46.7581
"8270",46.0908
"8331",46.926
"8346",46.012
"8349",46.6756
"8352",46.439
"8363",45.742
"8395",46.758142
"8398",46.887939
"8408",46.090758
"8417",46.861556
"8455",46.813607
"8510",46.042825
"8526",46.926031
"8534",45.518375
"8539",46.566667
"8607",48.4167
"8636",45.43
"8705",45.966667
"8706",43.6615
"8707",45.0918
"8708",27.9506
"8709",44.4082
"8710",26.7775
"8711",39.1902
"8712",39.114
"8719",46.8166
"8774",45.8937
"8795",46.7028
"8796",45.6307
"8798",47.3649
"8802",45.5503
"8806",46.6762
"8812",46.8665
"8852",46.866482
"8902",45.893682
"8917",45.52
"8918",47.66198
"8935",46.3167
"8968",48.749259
"9030",46.4
"9036",44.9658
"9038",45.1966
"9039",44.9696
"9045",43.313
"9046",44.4043
"9050",39.7329
"9051",44.8167
"9053",46.0159
"9060",46.8033
"9062",45.54
"9063",45.5138
"9082",45.2831
"9098",45.7522
"9136",45.5801
"9168",46.8909
"9186",46.871
"9211",48.90787
"9212",45.513765
"9214",46.803283
"9222",45.752173
"9232",45.283132
"9245",46.870954
"9258",47.364876
"9343",62.5
"9351",45.483962
"9353",48.234253
"9358",45.7519
"9391",48.9214
"9425",45.42028
"9476",45.75
"9500",32.9143
"9501",46.4055
"9502",46.3924
"9503",42.7777
"9577",46.8133
"9605",45.3947
"9606",45.97478
"9607",47.5608
"9691",45.55033
"9706",47.236151
"9707",46.38333
"9708",62.53333
"9712",48.141787
"9717",48.72944
"9762",45.35
"9795",46.99522
"9812",45.53254
"9832",60.036415
"9839",45.994431
"9846",62.533333
"9913",46.45
"9923",46.5
"9945",51.4833
"9970",47.70311
"9972",44.41
"9973",45.2431
"9975",46.2338
"9980",46.8063
"9984",58.7839
"9998",45.4617
"9999",46.233843
"10005",46.012017
"10012",45.243056
"10018",45.461712
"10024",45.663665
"10032",45.1
"10039",58.783889
"10041",58.7833
"10045",51.9667
"10046",54.1667
"10052",60.8167
"10058",45.7
"10066",49.1751
"10078",45.4947
"10090",45.2429
"10094",45.0555
"10124",56.84
"10127",45.055473
"10133",56.8333
"10137",49.9066
"10199",46.9214
"10222",45.3958
"10238",45.5435
"10269",46.6968
"10303",46.921393
"10324",46.69684
"10341",45.543454
"10346",45.39582
"10376",46.806309
"10399",48.279855
"10429",46.1683
"10433",45.894
"10458",47.5888
"10463",46.5322
"10486",46.343
"10505",46.532212
"10519",46.342982
"10528",47.588827
"10530",46.937554
"10580",46.3623
"10588",46.5328
"10623",45.356596
"10645",45.4033
"10649",45.3566
"10651",46.8697
"10662",46.4715
"10663",45.5546
"10668",48.0097
"10687",46.7938
"10699",46.8703
"10705",47.1
"10706",46.7146
"10727",48.009723
"10730",46.870282
"10746",45.554592
"10755",46.471499
"10777",46.7829
"10778",46.714636
"10787",46.869704
"10792",45.403276
"10830",48.0167
"10871",45.1838
"10877",45.1165
"10894",48.1604
"10903",47.8911
"10908",46.4374
"10912",47.5588
"10913",50.7335
"10924",45.2256
"10936",47.4972
"10938",48.2038
"10947",47.497206
"10948",48.613056
"10952",48.160374
"10953",47.891143
"10955",50.733527
"10963",45.11654
"10964",47.55882
"10965",45.225589
"10990",46.437406
"11005",47.016388
"11018",45.1167
"11035",48.3333
"11048",45.7477
"11050",48.665864
