"","lon"
"9034",-68.266667
"9036",-79.9123
"9038",-74.5731
"9039",-79.919
"9045",-81.7562
"9046",-78.7677
"9050",-75.1316
"9051",-78.7667
"9053",-77.4523
"9060",-71.2428
"9062",-73.6955
"9063",-73.6057
"9082",-72.9748
"9098",-74.2591
"9136",-70.8881
"9168",-71.1478
"9186",-71.6394
"9211",-66.17322
"9212",-73.605705
"9214",-71.242796
"9222",-74.259102
"9232",-72.974807
"9245",-71.639353
"9258",-70.033674
"9351",-73.40799
"9353",-79.018759
"9358",-74.2564
"9391",-66.1956
"9425",-73.9201
"9476",-74.25
"9500",-108.2253
"9501",-63.1952
"9502",-83.2273
"9503",-81.1827
"9550",-74.7667
"9577",-72.5069
"9605",-71.91167
"9606",-73.24619
"9607",-71.2265
"9691",-73.758497
"9706",-71.22753
"9707",-75.01667
"9708",-77.38333
"9710",-71.9
"9712",-71.805798
"9717",-66.142858
"9762",-73.15
"9795",-71.36564
"9812",-75.88315
"9832",-77.262887
"9839",-73.593287
"9846",-77.383333
"9867",-74.766667
"9882",-75.1167
"9923",-75.1333
"9945",-78.75
"9970",-71.46125
"9972",-78.767
"9973",-73.8028
"9975",-73.5298
"9980",-71.357
"9984",-72.4522
"9998",-73.9185
"9999",-73.529825
"10005",-73.349988
"10012",-73.802778
"10018",-73.918504
"10024",-75.347226
"10039",-72.452222
"10041",-72.4667
"10045",-69.7833
"10046",-69.9833
"10066",-122.6575
"10078",-74.025
"10090",-74.246
"10094",-72.8375
"10124",-68.855
"10127",-72.837506
"10133",-68.95
"10137",-109.4802
"10199",-70.8896
"10222",-73.5657
"10238",-75.4192
"10269",-71.591
"10303",-70.889629
"10324",-71.591027
"10341",-75.41917
"10346",-73.565743
"10376",-71.357009
"10399",-65.906291
"10429",-64.5615
"10433",-79.363
"10458",-71.2262
"10463",-72.7639
"10486",-72.5421
"10505",-72.763899
"10519",-72.542072
"10528",-71.226204
"10530",-71.470228
"10588",-72.7744
"10623",-72.935631
"10637",-71.35
"10645",-73.9504
"10649",-72.9356
"10662",-72.5376
"10663",-73.7084
"10668",-65.3338
"10687",-71.3519
"10699",-71.6409
"10706",-71.2605
"10727",-65.333814
"10730",-71.640905
"10746",-73.70841
"10755",-72.537555
"10777",-71.286
"10778",-71.260452
"10787",-71.639894
"10792",-73.950361
"10830",-65.3333
"10871",-74.4151
"10877",-72.1775
"10894",-71.8732
"10903",-70.9998
"10908",-74.8335
"10912",-71.2324
"10913",-79.5014
"10924",-73.1148
"10936",-69.5686
"10938",-65.9054
"10947",-69.568636
"10948",-70.796667
"10952",-71.87322
"10953",-70.999816
"10955",-79.501381
"10963",-72.177506
"10964",-71.232386
"10965",-73.114775
"10990",-74.833546
"11005",-70.953853
"11018",-72.1833
"11035",-70.8833
"11048",-74.0017
"11050",-66.183585
"11065",-71.4833
"11067",-77.75
"11068",-71.5
"11071",-64.6553
"11073",-74.5944
"11085",-77.0344
"11106",-69.2475
"11115",-71.6152
"11122",-69.247501
"11127",-71.615226
"11128",-74.594424
"11135",-77.034393
"11149",-68.418839
"11160",-66.783333
"11161",-73.93421
"11162",-69.08297
"11163",-66.783
"11185",-68.419
"11189",-66.78333
"11192",-68.357428
"11202",-68.4
"11255",-66.8
"11438",-70.0333
"11450",-112.69
"11451",-66.1134
"11452",-83.1699
"11455",-73.9433
"11501",-70.6277
"11506",-73.943329
"11565",-78.746005
"11566",-77.14719
"11603",-72.5333
"11626",-73.92509
"11631",-78.1188
"11666",-70.627741
"11976",-112.8418
"11983",-69.8778
"11989",-72.0958
"11990",-71.7902
"11999",-69.877795
"12005",-71.790155
"12007",-72.095768
"12008",-69.07
"12010",-74.032646
"12011",-65.892919
"12013",-71.076904
"12019",-69.088
"12042",-74.73333
"12054",-69.0833
"12066",-76
"12125",-113.9167
"12126",-62.5354
"12139",-72.148
"12187",-72.147989
"12213",-72.77
"12214",-72.762614
"12371",-72.768
"12392",-72.1333
"12420",-73.94195
"12424",-72.7316
"12436",-72.7678
"12438",-72.7667
"12475",-122.2869
"12479",-74.5069
"12486",-74.2457
"12512",-73.9388
"12549",-74.506946
"12556",-74.245745
"12565",-73.349987
"12591",-73.938831
"12592",-73.938822
"12611",-73.95
"12612",-73.95036
"12678",-73.7833
"12686",-76.01667
"12701",-73.776339
"12716",-73.6223
"12748",-74.2196
"12777",-71.6174
"12779",-72.5228
"12816",-73.3427
"12818",-71.0731
"12822",-70.403
"12823",-71.2273
"12824",-71.529
"12826",-71.3747
"12829",-73.9301
"12831",-71.2112
"12835",-73.0865
"12837",-73.54
"12839",-73.62234
"12841",-73.086466
"12853",-71.617432
"12867",-71.073071
"12869",-71.528961
"12883",-74.219633
"12884",-73.930094
"12909",-71.374708
"12911",-71.211206
"12924",-72.522767
"12937",-70.403041
"12954",-71.94238
"12955",-73.929526
"13044",-73.950883
"13058",-71.227261
"13079",-63.5478
"13080",-102.0454
"13081",-94.5
"13104",-74.5851
"13107",-70.1993
"13112",-70.3155
"13114",-71.2313
"13115",-72.6367
"13117",-74.0239
"13123",-72.2699
"13124",-72.5158
"13126",-72.5711
"13139",-65.95
"13146",-72.2725
"13155",-70.19934
"13156",-72.50686
"13157",-72.515842
"13160",-74.023898
"13164",-70.315522
"13171",-72.571128
"13177",-72.636714
"13180",-75.551619
"13183",-74.585113
"13186",-72.269925
"13193",-71.231304
"13215",-72.27251
"13216",-68.19
"13217",-72.2288
"13219",-75.70407
"13220",-75.369513
"13221",-72.206274
"13222",-68.189608
"13226",-65.9493
"13230",-64.696
"13252",-71.73301
"13257",-76.0055
"13264",-75.71667
"13268",-70.0209
"13276",-64.738129
"13277",-76.054573
"13308",-64.75
"13418",-71.6167
"13429",-64.9
"13437",-66.7333
"13449",-68.1833
"13502",-66.4833
"13541",-65.75
"13613",-65.0167
"13791",-94.9091
"13792",-73.4929
"13793",-115.0813
"13796",-111.9524
"13798",-115.1222
"13799",-63.538
"13800",-80.6479
"13801",-70.2403
"13809",-73.5681
"13815",-73.7541
"13821",-71.2802
"13831",-70.8628
"13835",-70.9038
"13836",-72.7754
"13843",-70.8252
"13860",-72.2045
"13902",-72.0102
"13905",-70.86279
"13906",-70.694253
"13907",-72.775418
"13947",-72.01023
"13980",-70.903816
"13995",-73.568146
"13997",-70.825246
"14010",-72.204526
"14030",-75.708
"14070",-96.2932
"14071",-80.0728
"14075",-80.4603
"14078",-96.4537
"14079",-76.7337
"14080",-79.5856
"14081",-137
"14110",-71.4095
"14145",-70.5893
"14146",-71.4702
"14149",-79.2029
"14150",-71.2266
"14152",-70.8127
"14168",-71.409516
"14171",-70.812717
"14190",-79.202857
"14227",-74.214
"14228",-74.16
"14229",-72.22
"14262",-72.2042
"14264",-73.68839
"14265",-72.23333
"14269",-70.443957
"14290",-71.016667
"14300",-72.283333
"14322",-74.014
"14345",-77.4167
"14346",-73.8667
"14358",-72.2167
"14466",-95.9271
"14467",-107.4025
"14471",-76.1429
"14472",-85.0211
"14484",-74.0175
"14485",-73.9435
"14491",-70.1765
"14514",-68.895
"14529",-77.9495
"14532",-74.1378
"14543",-71.4587
"14552",-70.2694
"14585",-73.943475
"14600",-68.895014
"14603",-70.269417
"14614",-77.949455
"14619",-74.137765
"14624",-74.017463
"14654",-73.63311
"14680",-73.933333
"14700",-75.951929
"14715",-68.8833
"14783",-70.176547
"14800",-69.6333
"14810",-69.5167
"14829",-71.2833
"14832",-69.2833
"14842",-97.4472
"14843",-97.2138
"14844",-81.2081
"14847",-97.283
"14849",-75.1363
"14851",-77.6984
"14852",-81.7436
"14880",-67.4333
"14892",-67.4312
"14896",-70.0262
"14909",-65.8568
"14911",-73.1596
"14969",-67.431192
"14990",-70.026235
"15009",-73.159594
"15035",-65.856769
"15038",-74.192074
"15468",-73.6942
"15480",-69.6847
"15484",-72.0022
"15487",-75.3605
"15488",-71.5667
"15490",-71.8831
"15491",-71.5124
"15527",-73.694209
"15561",-75.36053
"15621",-75.978
"15622",-65.6513
"15624",-96.8423
"15629",-77.8549
"15632",-97.2365
"15643",-66.8667
"15648",-65.1091
"15652",-73.6331
"15654",-67.9475
"15664",-71.4666
"15666",-66.4799
"15686",-64.3527
"15695",-73.692
"15705",-73.692033
"15708",-66.866667
"15712",-66.479933
"15729",-70.365419
"15736",-70.045956
"15745",-64.352681
"15749",-68.867612
"15757",-65.1333
"15758",-67.85
"15792",-65.641361
"15819",-70.2667
"15820",-97.2071
"15821",-68.3267
"15833",-75.888
"15848",-73.7567
"15855",-70.5544
"15860",-73.5671
"15864",-75.888049
"15866",-73.756702
"15889",-70.554372
"15898",-74.26582
"15917",-68.833333
"15919",-76.00309
"15923",-72.232114
"15926",-66.8333
"15930",-97.1366
"15937",-62.2118
"15940",-73.6462
"15941",-74.5188
"15949",-74.486
"15966",-75.5863
"15971",-71.5298
"15974",-73.5592
"15976",-71.2226
"15979",-71.2407
"15984",-74.518817
"15986",-75.58634
"15988",-71.222596
"15995",-62.211837
"15996",-73.646166
"16003",-71.240651
"16023",-74.486014
"16029",-75.0325
"16051",-75.03
"16064",-71.75
"16065",-99.8125
"16066",-64.2992
"16067",-64.06
"16070",-78.8658
"16080",-73.988
"16091",-70.2056
"16094",-71.194
"16096",-71.2343
"16100",-71.107
"16102",-70.7262
"16103",-64.4787
"16118",-70.205606
"16125",-71.458701
"16145",-71.234315
"16149",-73.98797
"16152",-71.194023
"16158",-68.858052
"16171",-62.5169
"16179",-83.7802
"16180",-77.742
"16182",-133.723
"16183",-81.1408
"16184",-83.3792
"16186",-104.6788
"16187",-74.0248
"16189",-73.7888
"16225",-76.1686
"16318",-71.9666
"16319",-71.375
"16323",-73.9627
"16346",-71.4978
"16350",-71.5907
"16351",-70.9096
"16355",-71.125
"16359",-69.8873
"16363",-71.0062
"16367",-73.2301
"16373",-74.0892
"16377",-74.02476
"16380",-76.168567
"16414",-70.726202
"16417",-69.887256
"16419",-73.788845
"16436",-71.226646
"16456",-73.230079
"16526",-72.147921
"16548",-73.577186
"16549",-71.1689
"16699",-66.816667
"16702",-73.962662
"16717",-74.089219
"16737",-76.1
"16740",-66.5833
"16741",-68.45
"16746",-63.1109
"16750",-63.1076
"16754",-82.4013
"16758",-68.517
"16774",-70.4409
"16776",-79.9535
"16788",-73.5694
"16793",-65.495
"16827",-74.1331
"16830",-74.6135
"16839",-73.8683
"16845",-74.376
"16861",-71.2757
"16882",-64.0776
"16884",-63.2569
"16886",-62.9555
"16890",-64.4507
"16894",-64.93
"16898",-63.5532
"16902",-72.1479
"16912",-71.275658
"16921",-62.955532
"16928",-65.494973
"16929",-74.375957
"16931",-64.930015
"16961",-64.450686
"16968",-73.569351
"16969",-74.133086
"16976",-64.077634
"16977",-63.256862
"17012",-73.868283
"17020",-64.478667
"17057",-73.55
"17071",-74.6667
"17082",-74.3667
"17128",-68.836766
"17176",-74.613549
"17184",-77.3
"17185",-64.35
"17199",-92.6638
"17200",-78.8867
"17202",-81.519
"17204",-138.7452
"17216",-67.4046
"17237",-135.8972
"17239",-83.5564
"17277",-80.6864
"17292",-75.09
"17293",-75.5808
"17316",-73.9846
"17335",-75.1443
"17340",-71.2706
"17349",-71.3855
"17352",-72.0315
"17354",-71.3854
"17355",-66.195
"17358",-74.0006
"17364",-74.7127
"17370",-71.270612
"17371",-75.580792
"17374",-73.984621
"17387",-75.089951
"17394",-71.385497
"17414",-75.14428
"17421",-74.712738
"17427",-75.76
"17429",-71.059799
"17430",-75.812141
"17434",-75.79751
"17438",-73.9833
"17448",-74.2942
"17451",-75.15
"17468",-77.270278
"17480",-71.59069
"17481",-72.031462
"17508",-74.000625
"17514",-77.45
"17515",-77.1333
"17520",-75.5
"17523",-75.93
"17526",-65.7012
"17530",-80.9867
"17533",-103.277
"17535",-78.8829
"17544",-71.6609
"17550",-76.0301
"17588",-76.4597
"17590",-75.1436
"17608",-63.8026
"17610",-69.9268
"17613",-72.4246
"17614",-63.2469
"17618",-76.030103
"17635",-72.424601
"17645",-75.143646
"17662",-63.246904
"17670",-69.926801
"17681",-71.775918
"17683",-64.351047
"17697",-76.0333
"17713",-73.8833
