"","lat","lon"
"9691",45.55033,-73.758497
"9706",47.236151,-71.22753
"9707",46.38333,-75.01667
"9708",62.53333,-77.38333
"9710",45.4,-71.9
"9712",48.141787,-71.805798
"9717",48.72944,-66.142858
"9762",45.35,-73.15
"9795",46.99522,-71.36564
"9812",45.53254,-75.88315
"9832",60.036415,-77.262887
"9839",45.994431,-73.593287
"9846",62.533333,-77.383333
"9867",45.866667,-74.766667
"9882",46.4,-75.1167
"9913",46.45,-74.9333
"9923",46.5,-75.1333
"9945",51.4833,-78.75
"9970",47.70311,-71.46125
"9972",44.41,-78.767
"9973",45.2431,-73.8028
"9975",46.2338,-73.5298
"9980",46.8063,-71.357
"9984",58.7839,-72.4522
"9998",45.4617,-73.9185
"9999",46.233843,-73.529825
"10005",46.012017,-73.349988
"10012",45.243056,-73.802778
"10018",45.461712,-73.918504
"10024",45.663665,-75.347226
"10032",45.1,-72.6167
"10034",45.6,-74.2
"10039",58.783889,-72.452222
"10041",58.7833,-72.4667
"10045",51.9667,-69.7833
"10046",54.1667,-69.9833
"10052",60.8167,-69.8667
"10058",45.7,-73.6167
"10066",49.1751,-122.6575
"10078",45.4947,-74.025
"10090",45.2429,-74.246
"10094",45.0555,-72.8375
"10124",56.84,-68.855
"10127",45.055473,-72.837506
"10133",56.8333,-68.95
"10137",49.9066,-109.4802
"10199",46.9214,-70.8896
"10222",45.3958,-73.5657
"10238",45.5435,-75.4192
"10269",46.6968,-71.591
"10303",46.921393,-70.889629
"10324",46.69684,-71.591027
"10341",45.543454,-75.41917
"10346",45.39582,-73.565743
"10376",46.806309,-71.357009
"10399",48.279855,-65.906291
